score,kernel,degree,C,gamma,epsilon
-10.11333638612524,1,2,0.5,0.05,0.1
-6.369999999999999,2,2,0.5,0.05,0.1
-6.368518518518518,3,2,0.5,0.05,0.1
-10.11333638612524,1,2,0.5,0.1,0.1
-6.369999999999999,2,2,0.5,0.1,0.1
-6.368518518518518,3,2,0.5,0.1,0.1
-10.11333638612524,1,2,0.5,0.15000000000000002,0.1
-6.369999999999999,2,2,0.5,0.15000000000000002,0.1
-6.368518518518518,3,2,0.5,0.15000000000000002,0.1
-10.124842109349682,1,2,0.5,0.05,0.15000000000000002
-6.37037037037037,2,2,0.5,0.05,0.15000000000000002
-6.368518518518518,3,2,0.5,0.05,0.15000000000000002
-10.124842109349682,1,2,0.5,0.1,0.15000000000000002
-6.37037037037037,2,2,0.5,0.1,0.15000000000000002
-6.368518518518518,3,2,0.5,0.1,0.15000000000000002
-10.124842109349682,1,2,0.5,0.15000000000000002,0.15000000000000002
-6.37037037037037,2,2,0.5,0.15000000000000002,0.15000000000000002
-6.368518518518518,3,2,0.5,0.15000000000000002,0.15000000000000002
-10.160118229185152,1,2,0.5,0.05,0.2
-6.37037037037037,2,2,0.5,0.05,0.2
-6.368518518518518,3,2,0.5,0.05,0.2
-10.160118229185152,1,2,0.5,0.1,0.2
-6.37037037037037,2,2,0.5,0.1,0.2
-6.368518518518518,3,2,0.5,0.1,0.2
-10.160118229185152,1,2,0.5,0.15000000000000002,0.2
-6.37037037037037,2,2,0.5,0.15000000000000002,0.2
-6.368518518518518,3,2,0.5,0.15000000000000002,0.2
-10.19823731668881,1,2,0.5,0.05,0.25
-6.3701234567901235,2,2,0.5,0.05,0.25
-6.368148148148148,3,2,0.5,0.05,0.25
-10.19823731668881,1,2,0.5,0.1,0.25
-6.3701234567901235,2,2,0.5,0.1,0.25
-6.368148148148148,3,2,0.5,0.1,0.25
-10.19823731668881,1,2,0.5,0.15000000000000002,0.25
-6.3701234567901235,2,2,0.5,0.15000000000000002,0.25
-6.368148148148148,3,2,0.5,0.15000000000000002,0.25
