-177.21169496865514 {'epsilon': 0.2, 'C': 0.5, 'gamma': 0.1, 'degree': 3, 'kernel': 'linear'}
-60.578587445956146 {'epsilon': 0.2, 'C': 0.5, 'gamma': 0.1, 'degree': 3, 'kernel': 'rbf'}
-60.679103703703696 {'epsilon': 0.2, 'C': 0.5, 'gamma': 0.1, 'degree': 3, 'kernel': 'sigmoid'}
-177.21169496865514 {'epsilon': 0.2, 'C': 0.5, 'gamma': 0.15000000000000002, 'degree': 3, 'kernel': 'linear'}
-60.578587445956146 {'epsilon': 0.2, 'C': 0.5, 'gamma': 0.15000000000000002, 'degree': 3, 'kernel': 'rbf'}
-60.679103703703696 {'epsilon': 0.2, 'C': 0.5, 'gamma': 0.15000000000000002, 'degree': 3, 'kernel': 'sigmoid'}
-176.29593392653587 {'epsilon': 0.25, 'C': 0.5, 'gamma': 0.05, 'degree': 3, 'kernel': 'linear'}
-60.57670483950618 {'epsilon': 0.25, 'C': 0.5, 'gamma': 0.05, 'degree': 3, 'kernel': 'rbf'}
-60.61436666666667 {'epsilon': 0.25, 'C': 0.5, 'gamma': 0.05, 'degree': 3, 'kernel': 'sigmoid'}
-176.29593392653587 {'epsilon': 0.25, 'C': 0.5, 'gamma': 0.1, 'degree': 3, 'kernel': 'linear'}
-60.57670483950618 {'epsilon': 0.25, 'C': 0.5, 'gamma': 0.1, 'degree': 3, 'kernel': 'rbf'}
-60.61436666666667 {'epsilon': 0.25, 'C': 0.5, 'gamma': 0.1, 'degree': 3, 'kernel': 'sigmoid'}
-176.29593392653587 {'epsilon': 0.25, 'C': 0.5, 'gamma': 0.15000000000000002, 'degree': 3, 'kernel': 'linear'}
-60.57670483950618 {'epsilon': 0.25, 'C': 0.5, 'gamma': 0.15000000000000002, 'degree': 3, 'kernel': 'rbf'}
-60.61436666666667 {'epsilon': 0.25, 'C': 0.5, 'gamma': 0.15000000000000002, 'degree': 3, 'kernel': 'sigmoid'}
-175.13149473801994 {'epsilon': 0.05, 'C': 0.75, 'gamma': 0.05, 'degree': 2, 'kernel': 'linear'}
-60.59464607407407 {'epsilon': 0.05, 'C': 0.75, 'gamma': 0.05, 'degree': 2, 'kernel': 'rbf'}
-60.77077777777778 {'epsilon': 0.05, 'C': 0.75, 'gamma': 0.05, 'degree': 2, 'kernel': 'sigmoid'}
-175.13149473801994 {'epsilon': 0.05, 'C': 0.75, 'gamma': 0.1, 'degree': 2, 'kernel': 'linear'}
-60.59464607407407 {'epsilon': 0.05, 'C': 0.75, 'gamma': 0.1, 'degree': 2, 'kernel': 'rbf'}
-60.77077777777778 {'epsilon': 0.05, 'C': 0.75, 'gamma': 0.1, 'degree': 2, 'kernel': 'sigmoid'}
-175.13149473801994 {'epsilon': 0.05, 'C': 0.75, 'gamma': 0.15000000000000002, 'degree': 2, 'kernel': 'linear'}
-60.59464607407407 {'epsilon': 0.05, 'C': 0.75, 'gamma': 0.15000000000000002, 'degree': 2, 'kernel': 'rbf'}
-60.77077777777778 {'epsilon': 0.05, 'C': 0.75, 'gamma': 0.15000000000000002, 'degree': 2, 'kernel': 'sigmoid'}
-175.62186289179402 {'epsilon': 0.1, 'C': 0.75, 'gamma': 0.05, 'degree': 2, 'kernel': 'linear'}
-60.5714194074074 {'epsilon': 0.1, 'C': 0.75, 'gamma': 0.05, 'degree': 2, 'kernel': 'rbf'}
-60.77077777777778 {'epsilon': 0.1, 'C': 0.75, 'gamma': 0.05, 'degree': 2, 'kernel': 'sigmoid'}
-175.62186289179402 {'epsilon': 0.1, 'C': 0.75, 'gamma': 0.1, 'degree': 2, 'kernel': 'linear'}
-60.5714194074074 {'epsilon': 0.1, 'C': 0.75, 'gamma': 0.1, 'degree': 2, 'kernel': 'rbf'}
-60.77077777777778 {'epsilon': 0.1, 'C': 0.75, 'gamma': 0.1, 'degree': 2, 'kernel': 'sigmoid'}
-175.62186289179402 {'epsilon': 0.1, 'C': 0.75, 'gamma': 0.15000000000000002, 'degree': 2, 'kernel': 'linear'}
-60.5714194074074 {'epsilon': 0.1, 'C': 0.75, 'gamma': 0.15000000000000002, 'degree': 2, 'kernel': 'rbf'}
-60.77077777777778 {'epsilon': 0.1, 'C': 0.75, 'gamma': 0.15000000000000002, 'degree': 2, 'kernel': 'sigmoid'}
-176.18993400050877 {'epsilon': 0.15000000000000002, 'C': 0.75, 'gamma': 0.05, 'degree': 2, 'kernel': 'linear'}
-60.541869283950625 {'epsilon': 0.15000000000000002, 'C': 0.75, 'gamma': 0.05, 'degree': 2, 'kernel': 'rbf'}
-60.735899999999994 {'epsilon': 0.15000000000000002, 'C': 0.75, 'gamma': 0.05, 'degree': 2, 'kernel': 'sigmoid'}
-176.18993400050877 {'epsilon': 0.15000000000000002, 'C': 0.75, 'gamma': 0.1, 'degree': 2, 'kernel': 'linear'}
-60.541869283950625 {'epsilon': 0.15000000000000002, 'C': 0.75, 'gamma': 0.1, 'degree': 2, 'kernel': 'rbf'}
-60.735899999999994 {'epsilon': 0.15000000000000002, 'C': 0.75, 'gamma': 0.1, 'degree': 2, 'kernel': 'sigmoid'}
-176.18993400050877 {'epsilon': 0.15000000000000002, 'C': 0.75, 'gamma': 0.15000000000000002, 'degree': 2, 'kernel': 'linear'}
-60.541869283950625 {'epsilon': 0.15000000000000002, 'C': 0.75, 'gamma': 0.15000000000000002, 'degree': 2, 'kernel': 'rbf'}
-60.735899999999994 {'epsilon': 0.15000000000000002, 'C': 0.75, 'gamma': 0.15000000000000002, 'degree': 2, 'kernel': 'sigmoid'}
-176.4815945168076 {'epsilon': 0.2, 'C': 0.75, 'gamma': 0.05, 'degree': 2, 'kernel': 'linear'}
-60.528028497779665 {'epsilon': 0.2, 'C': 0.75, 'gamma': 0.05, 'degree': 2, 'kernel': 'rbf'}
-60.679103703703696 {'epsilon': 0.2, 'C': 0.75, 'gamma': 0.05, 'degree': 2, 'kernel': 'sigmoid'}
-176.4815945168076 {'epsilon': 0.2, 'C': 0.75, 'gamma': 0.1, 'degree': 2, 'kernel': 'linear'}
-60.528028497779665 {'epsilon': 0.2, 'C': 0.75, 'gamma': 0.1, 'degree': 2, 'kernel': 'rbf'}
