score,kernel,degree,C,gamma,epsilon
16.6,10.68,5.242500000000001
17.1,30.78,5.242500000000001
17.1,35.72,5.242500000000001
17.1,20.48,5.242500000000001
16.6,12.62,5.242500000000001
16.6,16.18,5.242500000000001
17.1,18.46,5.242500000000001
17.1,17.52,5.242500000000001
17.1,22.64,5.242500000000001
17.1,25.6,5.242500000000001
17.1,20.68,5.242500000000001
16.6,8.32,5.242500000000001
16.6,9.32,5.242500000000001
16.6,15.72,5.242500000000001
16.6,15.56,5.242500000000001
16.6,15.6,5.242500000000001
